"","incident_number","exposure_number","alarm_date","alarm_time","incident_type","incident_description","estimated_property_loss","estimated_content_loss","district","city_section","neighborhood","zip","property_use","property_description","street_number","street_prefix","street_name","street_suffix","street_type","address_2","xstreet_prefix","xstreet_name","xstreet_suffix","xstreet_type","loss_sum","fire"
"1533","23-0010211",0,"2023-02-08","13:57:42","131","Passenger vehicle fire",3000,500,"12","MT","Mattapan","02126","963","Street or road in commercial area","600","","CUMMINS","","HWY","","","","","",3500,1
"1577","23-0010283",0,"2023-02-08","18:10:31","111","Building fire",10000,0,"01","EB","East Boston","02128","500","Mercantile, business, Other","73","","MAVERICK","","SQ","","","","","",10000,1
"1595","23-0010313",0,"2023-02-08","20:59:05","111","Building fire",2000,0,"01","EB","East Boston","02128","500","Mercantile, business, Other","71","","MAVERICK","","SQ","","","","","",2000,1
"1736","23-0010045",0,"2023-02-07","20:00:54","111","Building fire",100000,50000,"08","MT","Mattapan","02126","429","Multifamily dwelling","20","","LESTON","","ST","","","","","",150000,1
"1737","23-0010045",1,"2023-02-07","20:00:54","111","Building fire",5000,0,"08","","","02126","429","Multifamily dwelling","18","","LESTON","","ST","","","","","",5000,1
"1819","23-0009579",0,"2023-02-06","07:52:54","131","Passenger vehicle fire",30000,10000,"09","RX","Roxbury","02115","960","Street, Other","","","RIVERWAY","","","","","BROOKLINE","","AVE",40000,1
"2283","23-0008868",0,"2023-02-05","07:32:15","522","Water or steam leak",25000,25000,"06","SB","South Boston","02127","400","Residential, Other","20","W","FIFTH","","ST","","","","","",50000,1
"2660","23-0009277",0,"2023-02-05","14:46:10","111","Building fire",75000,75000,"10","WR","West Roxbury","02132","419","1 or 2 family dwelling","20","","LATIN","","RD","","","","","",150000,1
"3213","23-0008155",0,"2023-02-04","15:58:27","113","Cooking fire, confined to container",4000,1000,"04","BO","Boston","02116","429","Multifamily dwelling","96","","SAINT BOTOLPH","","ST","","","","","",5000,1
"3550","23-0008520",0,"2023-02-04","23:07:49","111","Building fire",10000,0,"07","RX","Roxbury","02119","429","Multifamily dwelling","58","","BLUE HILL","","AVE","","","","","",10000,1
"3666","23-0007549",0,"2023-02-03","14:15:03","111","Building fire",800000,30000,"01","EB","East Boston","02128","429","Multifamily dwelling","43","","COTTAGE","","ST","","","","","",830000,1
"3667","23-0007549",1,"2023-02-03","14:15:03","111","Building fire",200000,25000,"01","","","02128","429","Multifamily dwelling","41","","COTTAGE","","ST","","","","","",225000,1
"3688","23-0007593",0,"2023-02-03","17:10:21","111","Building fire",50000,0,"06","SB","South Boston","02210","500","Mercantile, business, Other","45","","BOSTON WHARF","","RD","","","","","",50000,1
"3861","23-0007332",0,"2023-02-02","15:40:20","113","Cooking fire, confined to container",5000,0,"03","BO","Boston","02110","161","Restaurant or cafeteria","211","","CONGRESS","","ST","","","","","",5000,1
"3926","23-0006935",0,"2023-02-01","02:47:37","130","Mobile property (vehicle) fire, Other",1000,0,"08","DO","Dorchester","02122","900","Outside or special property, Other","715","","WILLIAM T MORRISSEY","","BLVD",": @CVS/PHARMACY - 715 WILLIAM T MORRISSE","","","","",1000,1
"3942","23-0006961",0,"2023-02-01","07:07:55","131","Passenger vehicle fire",7000,0,"11","BR","Allston-Brighton","02134","960","Street, Other","163","","CAMBRIDGE","","ST","","","","","",7000,1
"4094","23-0007192",0,"2023-02-01","23:05:30","143","Grass fire",1000,0,"03","BO","Boston","02114","429","Multifamily dwelling","4","","LONGFELLOW","","PL","","","","","",1000,1
"4105","23-0006688",0,"2023-01-31","00:52:57","111","Building fire",125000,75000,"08","MT","Mattapan","02126","419","1 or 2 family dwelling","55","","CEDAR","","ST","","","","","",200000,1
"4172","23-0006813",0,"2023-01-31","13:56:56","111","Building fire",0,5000,"04","RX","Roxbury","02118","429","Multifamily dwelling","134","","NORTHAMPTON","","ST","","","","","",5000,1
"4197","23-0006858",0,"2023-01-31","17:25:36","111","Building fire",5000,0,"07","DO","Dorchester","02125","564","Laundry, dry cleaning","112","","STOUGHTON","","ST","","","","","",5000,1
"4210","23-0006884",0,"2023-01-31","19:33:55","131","Passenger vehicle fire",20000,0,"10","HP","Hyde Park","02136","960","Street, Other","26","","SMITH FIELD","","RD","","","","","",20000,1
"4385","23-0006284",0,"2023-01-29","07:19:19","113","Cooking fire, confined to container",500,500,"07","DO","Dorchester","02125","419","1 or 2 family dwelling","21","","SARGENT","","ST","","","","","",1000,1
"4503","23-0006037",0,"2023-01-28","02:43:23","111","Building fire",30000,30000,"08","MT","Mattapan","02126","429","Multifamily dwelling","9-11","","DR. MARY MOORE BEATTY","","CIR",": #PAT5405","","","","",60000,1
"4551","23-0006119",0,"2023-01-28","14:20:49","111","Building fire",800000,50000,"06","SB","South Boston","02127","400","Residential, Other","141","","P","","ST","","","","","",850000,1
"4580","23-0006176",0,"2023-01-28","18:36:42","111","Building fire",0,2000,"08","DO","Dorchester","02124","429","Multifamily dwelling","33","","WITHINGTON","","ST","","","","","",2000,1
"4636","23-0005838",0,"2023-01-27","07:10:57","111","Building fire",50000,0,"12","HP","Hyde Park","02136","881","Parking garage, (detached residential garage)","54","","THATCHER","","ST","","","","","",50000,1
"4666","23-0005879",0,"2023-01-27","11:41:45","114","Chimney or flue fire, confined to chimney or flue",1000,1000,"09","RX","Roxbury","02120","429","Multifamily dwelling","6","","ELDORA","","ST","","","","","",2000,1
"4795","23-0005607",0,"2023-01-26","08:28:06","131","Passenger vehicle fire",20000,0,"03","BO","Boston","02109","900","Outside or special property, Other","","","CLINTON","","ST","","","NORTH","","ST",20000,1
"4809","23-0005628",0,"2023-01-26","10:24:21","111","Building fire",15000,5000,"07","RX","Roxbury","02119","439","Boarding/rooming house, residential hotels","430-432","","DUDLEY","","ST","","","","","",20000,1
"4927","23-0005360",0,"2023-01-25","03:54:57","131","Passenger vehicle fire",3000,0,"10","HP","Hyde Park","02136","960","Street, Other","17","","BRAINARD","","ST","","","","","",3000,1
"5051","23-0005146",0,"2023-01-24","07:14:34","131","Passenger vehicle fire",20000,0,"08","DO","Dorchester","02122","963","Street or road in commercial area","761","","GALLIVAN","","BLVD","","","","","",20000,1
"5057","23-0005154",0,"2023-01-24","07:45:18","113","Cooking fire, confined to container",0,1000,"08","DO","Dorchester","02124","429","Multifamily dwelling","20","","DYER","","ST","","","","","",1000,1
"5126","23-0005275",0,"2023-01-24","17:51:08","111","Building fire",120000,10000,"08","DO","Dorchester","02124","419","1 or 2 family dwelling","231","","CALLENDER","","ST","","","","","",130000,1
"5238","23-0005019",0,"2023-01-23","15:20:52","118","Trash or rubbish fire, contained",1000,1000,"03","BO","Boston","02114","439","Boarding/rooming house, residential hotels","37","","BOWDOIN","","ST","","","","","",2000,1
"5250","23-0005049",0,"2023-01-23","17:10:38","113","Cooking fire, confined to container",3000,4000,"07","DO","Dorchester","02122","419","1 or 2 family dwelling","42","","JULIETTE","","ST","","","","","",7000,1
"5273","23-0005089",0,"2023-01-23","19:59:56","131","Passenger vehicle fire",8500,0,"01","EB","East Boston","02128","965","Vehicle parking area","85","","LIVERPOOL","","ST","","","","","",8500,1
"5360","23-0004800",0,"2023-01-22","14:56:27","111","Building fire",9000,1000,"12","RS","Roslindale","02131","429","Multifamily dwelling","555","","HYDE PARK","","AVE","","","","","",10000,1
"5395","23-0004859",0,"2023-01-22","20:21:06","131","Passenger vehicle fire",5000,0,"07","DO","Dorchester","02121","965","Vehicle parking area","129","","QUINCY","","ST","","","","","",5000,1
"5464","23-0004560",0,"2023-01-21","12:17:22","131","Passenger vehicle fire",80000,2000,"12","HP","Hyde Park","02136","962","Residential street, road or residential driveway","","","CENTRAL","","AVE","","","RIVER","","ST",82000,1
"5654","23-0004405",0,"2023-01-20","18:48:09","131","Passenger vehicle fire",1000,0,"06","DO","Dorchester","02125","961","Highway or divided highway","","","INTERSTATE 93","S","",": @SB I93 AT EXIT 15 (NEW EXIT 14)","","","","",1000,1
"6062","23-0003680",0,"2023-01-17","18:23:13","111","Building fire",1000,1000,"04","BO","Boston","02118","429","Multifamily dwelling","24","","DWIGHT","","ST","","","","","",2000,1
"6159","23-0003420",0,"2023-01-16","15:44:03","111","Building fire",0,500,"03","BO","Boston","02113","429","Multifamily dwelling","25","","CLARK","","ST",": #WYN7159","","","","",500,1
"6323","23-0003298",0,"2023-01-15","22:51:26","116","Fuel burner/boiler malfunction, fire confined",1000,1000,"08","MT","Mattapan","02126","419","1 or 2 family dwelling","98","","STANDARD","","ST","","","","","",2000,1
"6336","23-0002896",0,"2023-01-14","01:27:36","118","Trash or rubbish fire, contained",0,1000,"06","SB","South Boston","02127","400","Residential, Other","52","","GENERAL LAWRENCE J LOGAN","","WAY","","","","","",1000,1
"6512","23-0002700",0,"2023-01-13","09:09:32","111","Building fire",1000,0,"09","JP","Jamaica Plain","02130","429","Multifamily dwelling","53","","FOREST HILLS","","ST","","","","","",1000,1
"6594","23-0002837",0,"2023-01-13","18:54:29","111","Building fire",1000,0,"09","RX","Roxbury","02121","429","Multifamily dwelling","166","","SEAVER","","ST","","","","","",1000,1
"6720","23-0002577",0,"2023-01-12","18:06:30","131","Passenger vehicle fire",7000,1000,"12","JP","Jamaica Plain","02130","963","Street or road in commercial area","3699","","WASHINGTON","","ST",": @MBTA STA-FOREST HILLS","","","","",8000,1
"6758","23-0002226",0,"2023-01-11","02:55:52","131","Passenger vehicle fire",25000,200,"08","DO","Dorchester","02124","960","Street, Other","","","MILTON","","AVE","","","MAXWELL","","ST",25200,1
"6815","23-0002320",0,"2023-01-11","14:17:20","111","Building fire",15000,2000,"11","BR","Allston-Brighton","02134","429","Multifamily dwelling","33","","RIDGEMONT","","ST","","","","","",17000,1
"6985","23-0002193",0,"2023-01-10","22:05:42","113","Cooking fire, confined to container",0,1000,"07","DO","Dorchester","02125","429","Multifamily dwelling","8","","KEVIN","","RD","","","","","",1000,1
"7076","23-0001923",0,"2023-01-09","16:22:54","111","Building fire",2000,1000,"03","BO","Boston","02111","429","Multifamily dwelling","10","","TEMPLE","","PL","","","","","",3000,1
"7235","23-0001793",0,"2023-01-08","23:51:39","113","Cooking fire, confined to container",5000,5000,"09","RX","Roxbury","02119","400","Residential, Other","125","","AMORY","","ST",": #12-2449","","","","",10000,1
"7247","23-0001389",0,"2023-01-07","03:37:16","111","Building fire",5000,20000,"09","RX","Roxbury","02120","429","Multifamily dwelling","76","","ANNUNCIATION","","RD","","","","","",25000,1
"7270","23-0001438",0,"2023-01-07","11:50:08","163","Outside gas or vapor combustion explosion",1000,0,"12","RS","Roslindale","02131","891","Warehouse","3892","","WASHINGTON","","ST","","","","","",1000,1
"7333","23-0001555",0,"2023-01-07","22:06:07","111","Building fire",100000,75000,"09","RX","Roxbury","02121","429","Multifamily dwelling","12","","HOMESTEAD","","ST","","","","","",175000,1
"7440","23-0001323",0,"2023-01-06","19:45:19","111","Building fire",100000,50000,"12","DO","Dorchester","02124","429","Multifamily dwelling","247","","WOODROW","","AVE","","","","","",150000,1
"7447","23-0001333",0,"2023-01-06","20:27:53","113","Cooking fire, confined to container",0,1000,"09","RX","Roxbury","02119","419","1 or 2 family dwelling","6","","FORT","","AVE","","","","","",1000,1
"7651","23-0000798",0,"2023-01-04","11:30:15","131","Passenger vehicle fire",10000,0,"06","DO","Dorchester","02125","900","Outside or special property, Other","82","","WESTWIND","","RD","","","","","",10000,1
"7858","23-0000685",0,"2023-01-03","22:00:10","113","Cooking fire, confined to container",1000,1000,"07","DO","Dorchester","02122","429","Multifamily dwelling","291","","ADAMS","","ST",": @ANH HONG RESTAURANT - 291 ADAMS ST, D","","","","",2000,1
"7931","23-0000354",0,"2023-01-02","12:42:21","113","Cooking fire, confined to container",2000,30,"07","DO","Dorchester","02125","400","Residential, Other","477","","COLUMBIA","","RD","","","","","",2030,1
"7943","23-0000370",0,"2023-01-02","14:25:17","131","Passenger vehicle fire",7000,0,"09","RX","Roxbury","02121","960","Street, Other","38","","CRAWFORD","","ST","","","","","",7000,1
"8049","23-0000090",0,"2023-01-01","09:47:50","113","Cooking fire, confined to container",1000,0,"08","DO","Dorchester","02122","429","Multifamily dwelling","266","","NEPONSET","","AVE","","","","","",1000,1
"8178","22-0090076",0,"2022-12-31","10:20:06","113","Cooking fire, confined to container",2000,0,"04","BO","Boston","02116","160","Eating, drinking places, other","254","","NEWBURY","","ST",": #CLM185","","","","",2000,1
"8297","22-0089774",0,"2022-12-30","03:56:11","131","Passenger vehicle fire",70000,0,"04","BO","Boston","02215","962","Residential street, road or residential driveway","151","","PARK","","DR","","","","","",70000,1
"8378","22-0089932",0,"2022-12-30","17:32:45","142","Brush or brush-and-grass mixture fire",3000,3000,"07","DO","Dorchester","02122","936","Vacant lot","3","","ROBINSON","","ST","","","","","",6000,1
"8456","22-0089545",0,"2022-12-29","08:41:18","481","Attempt to burn",0,5000,"07","DO","Dorchester","02125","429","Multifamily dwelling","25","","HOWES","","ST","","","","","",5000,1
"8494","22-0089605",0,"2022-12-29","12:37:29","111","Building fire",10000,250000,"09","RX","Roxbury","02119","419","1 or 2 family dwelling","11","","DORR","","ST","","","","","",260000,1
"8522","22-0089652",0,"2022-12-29","15:52:27","111","Building fire",5000,30000,"12","MT","Mattapan","02126","511","Convenience store","1379","","BLUE HILL","","AVE","","","","","",35000,1
"8584","22-0089250",0,"2022-12-28","01:41:52","151","Outside rubbish, trash or waste fire",500,0,"12","MT","Mattapan","02126","963","Street or road in commercial area","1556","","BLUE HILL","","AVE",": @MOBIL - 1556 BLUE HILL AVE, MT","","","","",500,1
"8727","22-0089470",0,"2022-12-28","21:26:05","111","Building fire",25000,0,"12","JP","Jamaica Plain","02131","579","Motor vehicle or boat sales, services, repair","3875","","WASHINGTON","","ST","","","","","",25000,1
"8741","22-0088969",0,"2022-12-27","00:28:36","111","Building fire",400000,100000,"08","DO","Dorchester","02124","419","1 or 2 family dwelling","438","","TALBOT","","AVE","","","","","",500000,1
"8742","22-0088971",0,"2022-12-27","00:39:15","111","Building fire",15000,0,"08","DO","Dorchester","02124","131","Church, mosque, synagogue, temple, chapel","","","WELLES","","AVE","","","TALBOT","","AVE",15000,1
"8763","22-0089008",0,"2022-12-27","07:18:06","151","Outside rubbish, trash or waste fire",500,0,"08","DO","Dorchester","02124","511","Convenience store","80","","WELLES","","AVE","","","","","",500,1
"8786","22-0089061",0,"2022-12-27","11:24:03","111","Building fire",600000,100000,"08","DO","Dorchester","02124","429","Multifamily dwelling","74","","MORA","","ST","","","","","",700000,1
"8831","22-0089151",0,"2022-12-27","16:26:46","131","Passenger vehicle fire",1000,0,"07","DO","Dorchester","02125","965","Vehicle parking area","141","","HANCOCK","","ST","","","","","",1000,1
"9039","22-0088954",0,"2022-12-26","22:57:32","111","Building fire",15000,1000,"10","WR","West Roxbury","02132","429","Multifamily dwelling","4965","","WASHINGTON","","ST","","","","","",16000,1
"9124","22-0088590",0,"2022-12-25","12:44:12","111","Building fire",250,250,"10","RS","Roslindale","02131","419","1 or 2 family dwelling","27","","BRADFIELD","","AVE","","","","","",500,1
"9183","22-0088673",0,"2022-12-25","19:18:57","113","Cooking fire, confined to container",1000,0,"12","HP","Hyde Park","02136","419","1 or 2 family dwelling","25","","DERRY","","RD","","","","","",1000,1
"9227","22-0088266",0,"2022-12-24","04:19:10","111","Building fire",600000,5000,"07","RX","Roxbury","02119","429","Multifamily dwelling","314","","WARREN","","ST","","","","","",605000,1
"9271","22-0088342",0,"2022-12-24","12:23:25","111","Building fire",80000,20000,"11","BR","Allston-Brighton","02135","419","1 or 2 family dwelling","90","","ACADEMY HILL","","RD","","","","","",100000,1
"9437","22-0088031",0,"2022-12-23","11:08:11","111","Building fire",5000,5000,"04","BO","Boston","02118","331","Hospital - medical or psychiatric","830-840","","HARRISON","","AVE",": #12-1664","","","","",10000,1
"9516","22-0088159",0,"2022-12-23","18:49:51","111","Building fire",7500,7500,"09","JP","Jamaica Plain","02130","429","Multifamily dwelling","76","","FORBES","","ST","","","","","",15000,1
"9527","22-0088177",0,"2022-12-23","19:43:31","111","Building fire",5000,100,"04","BO","Boston","02118","500","Mercantile, business, Other","665","","TREMONT","","ST",": @YUM MEE RESTAURANT - 665 TREMONT ST,","","","","",5100,1
"9539","22-0088200",0,"2022-12-23","21:03:59","116","Fuel burner/boiler malfunction, fire confined",5000,0,"08","DO","Dorchester","02124","429","Multifamily dwelling","20","","ELWYN","","RD","","","","","",5000,1
"9547","22-0088212",0,"2022-12-23","21:32:24","650","Steam, Other gas mistaken for smoke, Other",5000,0,"08","DO","Dorchester","02124","429","Multifamily dwelling","52","","MASCOT","","ST","","","","","",5000,1
"9663","22-0087870",0,"2022-12-22","18:38:03","111","Building fire",1000,2000,"04","BO","Boston","02118","429","Multifamily dwelling","1138","E","WASHINGTON","","ST","","","","","",3000,1
"9675","22-0087893",0,"2022-12-22","20:12:51","111","Building fire",500,100,"08","DO","Dorchester","02124","429","Multifamily dwelling","12","","MILLET","","ST","","","","","",600,1
"9690","22-0087470",0,"2022-12-21","00:38:44","131","Passenger vehicle fire",10000,1000,"09","JP","Jamaica Plain","02130","900","Outside or special property, Other","","","SAINT JOHN","","ST","","","ROCKVIEW","","ST",11000,1
"9882","22-0087343",0,"2022-12-20","13:15:39","111","Building fire",200000,50000,"10","HP","Hyde Park","02136","429","Multifamily dwelling","102","","GEORGETOWNE","","PL","","","","","",250000,1
"9909","22-0087399",0,"2022-12-20","17:02:21","113","Cooking fire, confined to container",0,1000,"10","WR","West Roxbury","02132","419","1 or 2 family dwelling","133","","WILLOW","","ST","","","","","",1000,1
"9920","22-0087417",0,"2022-12-20","18:44:22","113","Cooking fire, confined to container",1000,0,"11","BR","Allston-Brighton","02135","460","Dormitory-type residence, other","15","","LEICESTER","","ST",": #INS461","","","","",1000,1
"10006","22-0087111",0,"2022-12-19","12:32:38","113","Cooking fire, confined to container",1000,0,"04","BO","Boston","02215","429","Multifamily dwelling","95","","PARK","","DR",": #CLM308","","","","",1000,1
"10027","22-0087150",0,"2022-12-19","14:56:03","131","Passenger vehicle fire",10000,500,"09","RX","Roxbury","02121","962","Residential street, road or residential driveway","120","","HOMESTEAD","","ST","","","","","",10500,1
"10055","22-0087199",0,"2022-12-19","18:02:48","131","Passenger vehicle fire",8000,2000,"12","HP","Hyde Park","02136","962","Residential street, road or residential driveway","165","","WOOD","","AVE","","","","","",10000,1
"10076","22-0087227",0,"2022-12-19","21:39:49","130","Mobile property (vehicle) fire, Other",0,1000,"01","EB","East Boston","02128","419","1 or 2 family dwelling","183","","ORIENT","","AVE","","","","","",1000,1
"10092","22-0086795",0,"2022-12-18","02:31:14","111","Building fire",90000,10000,"03","CH","Charlestown","02129","419","1 or 2 family dwelling","291","","BUNKER HILL","","ST","","","","","",100000,1
"10191","22-0086963",0,"2022-12-18","18:09:33","113","Cooking fire, confined to container",1000,1000,"08","MT","Mattapan","02126","429","Multifamily dwelling","249","","RIVER","","ST","","","","","",2000,1
"10218","22-0087010",0,"2022-12-18","23:29:16","111","Building fire",1000,0,"07","DO","Dorchester","02122","429","Multifamily dwelling","5","","HOMES","","AVE","","","","","",1000,1
"10406","22-0086420",0,"2022-12-16","12:02:49","118","Trash or rubbish fire, contained",0,500,"12","HP","Hyde Park","02126","419","1 or 2 family dwelling","24","","TAUNTON","","AVE","","","","","",500,1
"10449","22-0086508",0,"2022-12-16","18:55:49","111","Building fire",40000,10000,"01","EB","East Boston","02128","429","Multifamily dwelling","1060","","SARATOGA","","ST","","","","","",50000,1
"10574","22-0086245",0,"2022-12-15","17:40:06","131","Passenger vehicle fire",5000,0,"12","MT","Mattapan","02126","960","Street, Other","72","","ORMOND","","ST","","","","","",5000,1
"10625","22-0085834",0,"2022-12-14","03:29:55","111","Building fire",5000,1000,"03","BO","Boston","02113","419","1 or 2 family dwelling","64","N","MARGIN","","ST","","","","","",6000,1
"10691","22-0085959",0,"2022-12-14","13:49:24","151","Outside rubbish, trash or waste fire",500,0,"03","BO","Boston","02108","960","Street, Other","24","","PROVINCE","","ST","","","","","",500,1
"10787","22-0085616",0,"2022-12-13","09:17:38","111","Building fire",5000,5000,"03","BO","Boston","02109","599","Business office","50","","CONGRESS","","ST","","","","","",10000,1
"10831","22-0085685",0,"2022-12-13","13:36:16","111","Building fire",0,500,"07","DO","Dorchester","02121","215","High school/junior high school/middle school","60","","WASHINGTON","","ST",": #12-3352","","","","",500,1
"11145","22-0085294",0,"2022-12-11","19:16:03","111","Building fire",2000,0,"07","DO","Dorchester","02121","429","Multifamily dwelling","52","","BOWDOIN","","AVE","","","","","",2000,1
"11185","22-0084929",0,"2022-12-10","01:54:56","131","Passenger vehicle fire",20000,0,"03","BO","Boston","02114","960","Street, Other","45","","JOY","","ST","","","","","",20000,1
"11231","22-0085008",0,"2022-12-10","14:21:01","161","Outside storage fire",3000,0,"09","DO","Dorchester","02121","000","Property Use, Other","1","","JEWISH WAR VETERANS","","DR",": @PARK-FRANKLIN PARK","","","","",3000,1
"11497","22-0084565",0,"2022-12-08","16:33:19","113","Cooking fire, confined to container",500,100,"04","BO","Boston","02215","429","Multifamily dwelling","509","","BEACON","","ST",": #WYN3839","","","","",600,1
"11529","22-0084622",0,"2022-12-08","21:26:18","111","Building fire",0,20000,"04","BO","Boston","02116","500","Mercantile, business, Other","33","","EXETER","","ST","","","","","",20000,1
"11559","22-0084168",0,"2022-12-07","04:50:05","111","Building fire",2000,2000,"12","HP","Hyde Park","02136","579","Motor vehicle or boat sales, services, repair","196","","PROVIDENCE","","ST","","","","","",4000,1
"11565","22-0084176",0,"2022-12-07","05:43:13","151","Outside rubbish, trash or waste fire",0,500,"11","BR","Allston-Brighton","02135","900","Outside or special property, Other","2160","","COMMONWEALTH","","AVE","","","","","",500,1
"11575","22-0084198",0,"2022-12-07","08:35:54","131","Passenger vehicle fire",2500,0,"06","DO","Dorchester","02125","965","Vehicle parking area","1100","","MASSACHUSETTS","","AVE",": @STOP & SHOP - 1100 MASSACHUSETTS AVE,","","","","",2500,1
"11774","22-0084025",0,"2022-12-06","15:18:03","111","Building fire",75000,1000,"08","DO","Dorchester","02124","429","Multifamily dwelling","6","","MILLET","","ST","","","","","",76000,1
"11793","22-0084060",0,"2022-12-06","17:00:14","154","Dumpster or other outside trash receptacle fire",1000,1000,"03","BO","Boston","02114","331","Hospital - medical or psychiatric","30","","BLOSSOM","","ST",": #MGH23","","","","",2000,1
"11853","22-0083626",0,"2022-12-05","04:06:06","111","Building fire",25000,5000,"07","DO","Dorchester","02122","500","Mercantile, business, Other","200","","BOWDOIN","","ST","","","","","",30000,1
"11888","22-0083674",0,"2022-12-05","10:17:44","111","Building fire",3000,100,"07","RX","Roxbury","02121","429","Multifamily dwelling","2","","HOLBORN","","PARK","","","","","",3100,1
"11938","22-0083767",0,"2022-12-05","15:31:58","118","Trash or rubbish fire, contained",5000,1000,"01","EB","East Boston","02128","564","Laundry, dry cleaning","115","","MAVERICK","","ST","","","","","",6000,1
"11997","22-0083385",0,"2022-12-04","02:15:43","111","Building fire",10000,1000,"07","RX","Roxbury","02119","808","Outbuilding or shed","128","","GERARD","","ST","","","","","",11000,1
"12095","22-0083547",0,"2022-12-04","19:15:06","113","Cooking fire, confined to container",1000,0,"09","RX","Roxbury","02121","429","Multifamily dwelling","140","","HUMBOLDT","","AVE","","","","","",1000,1
"12127","22-0083594",0,"2022-12-04","23:27:38","111","Building fire",100000,100000,"01","EB","East Boston","02128","500","Mercantile, business, Other","86","","CONDOR","","ST","","","","","",200000,1
"12256","22-0083348",0,"2022-12-03","21:34:07","111","Building fire",25000,5000,"12","RS","Roslindale","02131","429","Multifamily dwelling","855","","AMERICAN LEGION","","HWY","","","","","",30000,1
"12265","22-0083359",0,"2022-12-03","22:39:13","113","Cooking fire, confined to container",1000,10,"03","CH","Charlestown","02129","429","Multifamily dwelling","9","","WINTHROP","","ST","","","","","",1010,1
"12287","22-0082850",0,"2022-12-02","04:00:22","111","Building fire",100000,50000,"08","DO","Dorchester","02124","429","Multifamily dwelling","92","","LUCERNE","","ST","","","","","",150000,1
